"","node_id","protocol","user_agent","connected_since","services","height","hostname","city","country_code","latitude","longitude","timezone","asn","organization_name"
"1","135.181.56.49:8333","70016","/Satoshi:24.0.1/","1684328018","1033","795932","static.49.56.181.135.clients.your-server.de",NA,"FI",60.1717,24.9349,"Europe/Helsinki","AS24940","Hetzner Online GmbH"
"2","umfhisptvyezl6n4mtj74uynczefi3deqvcokdf4yji4psfnwpeeh7qd.onion:8333","70016","/Satoshi:24.0.1/","1687670183","1033","795932",NA,NA,NA,0,0,NA,"TOR","Tor network"
"3","tagq3maaslwssn2hdq57vno2stvktcnannut2m6qxh5xyebhmc4qrvyd.onion:8333","70016","/Satoshi:23.0.0/","1687356595","1037","795932",NA,NA,NA,0,0,NA,"TOR","Tor network"
"4","34.86.248.96:8333","70015","/Satoshi:0.20.1/","1687737720","1037","795929","96.248.86.34.bc.googleusercontent.com","Washington","US",38.894,-77.0365,"America/New_York","AS396982","GOOGLE-CLOUD-PLATFORM"
"5","s6txllfw6ps6l5ta4eaxnzkjbqzpgfdch3pw6m6oupp2xodddfuyajyd.onion:8333","70016","/Satoshi:24.0.1/","1687723937","1037","795932",NA,NA,NA,0,0,NA,"TOR","Tor network"
"6","76.150.98.135:8333","70016","/Satoshi:25.99.0/","1686122990","1033","795932","76.150.98.135","Morton Grove","US",42.0431,-87.7899,"America/Chicago","AS7922","COMCAST-7922"
"7","95.216.33.150:8333","70016","/Satoshi:22.0.0/","1687737250","1033","795932","static.150.33.216.95.clients.your-server.de","Helsinki","FI",60.1719,24.9347,"Europe/Helsinki","AS24940","Hetzner Online GmbH"
"8","[2a01:4f9:6b:2849::2]:8333","70016","/Satoshi:22.0.0/","1687737250","1033","795932","2a01:4f9:6b:2849::2",NA,"DE",51.2993,9.491,"Europe/Berlin","AS24940","Hetzner Online GmbH"
"9","78.24.223.134:20008","70016","/Satoshi:24.99.0/","1686607714","1033","795932","noda-plg.com",NA,"RU",55.7386,37.6068,"Europe/Moscow","AS29182","JSC IOT"
"10","vm4dktupnaxnvbpfysrhb43crvvg5cklajwy3qfxz2cf7vne5ypjibid.onion:8333","70016","/Satoshi:22.0.0/","1687731643","1033","795932",NA,NA,NA,0,0,NA,"TOR","Tor network"
