"","node_id","protocol","user_agent","connected_since","services","height","hostname","city","country_code","latitude","longitude","timezone","asn","organization_name"
"1","135.181.56.49:8333","70016","/Satoshi:24.0.1/","1684328018","1033","791556","static.49.56.181.135.clients.your-server.de","Helsinki","FI",60.1719,24.9347,"Europe/Helsinki","AS24940","Hetzner Online GmbH"
"2","pejyovkjbchf4rpkwlrol3ngjmlu5q4uodxcekap4ttjm32ycfb6w6ad.onion:8333","70016","/Satoshi:24.1.0/","1684940539","1033","791556",NA,NA,NA,0,0,NA,"TOR","Tor network"
"3","ubhn43jadeqwr6jae7wh4l5f7qwd5keb6xf3betasqwikdop47fshdad.onion:8333","70016","/Satoshi:24.1.0/","1685018505","1033","791556",NA,NA,NA,0,0,NA,"TOR","Tor network"
"4","82.64.17.58:58333","70016","/Satoshi:24.1.0/","1685134160","1033","791556","82-64-17-58.subs.proxad.net","Les Matelles","FR",43.7363,3.8115,"Europe/Paris","AS12322","Free SAS"
"5","nuibgelqm777chfkhkesyna73pkxi4auvvzrozkmynp2iyshniobjcad.onion:8333","70016","/Satoshi:24.0.1/","1685018509","1033","791556",NA,NA,NA,0,0,NA,"TOR","Tor network"
"6","3krhtvbdypj6zmpqhiyipcgcn6m5frcv6xceyy4ltgqfk4lgltxk2did.onion:8333","70016","/Satoshi:22.0.0/","1685140438","1037","791556",NA,NA,NA,0,0,NA,"TOR","Tor network"
"7","95.22.199.193:8333","70016","/Satoshi:24.1.0/","1685097256","1033","791556","193.pool95-22-199.dynamic.orange.es","Santa Úrsula","ES",28.4301,-16.4887,"Atlantic/Canary","AS12479","Orange Espagne SA"
"8","13.53.236.175:8333","70016","/Satoshi:24.0.1/","1684332178","1033","791556","ec2-13-53-236-175.eu-north-1.compute.amazonaws.com","Stockholm","SE",59.3287,18.0717,"Europe/Stockholm","AS16509","AMAZON-02"
"9","krkyzl3r6k4bski3vluaobgzk5mduic752yvxzac23cptlb23vtv2lyd.onion:8333","70016","/Satoshi:23.0.0/Knots:20220529/","1684390774","67109965","791556",NA,NA,NA,0,0,NA,"TOR","Tor network"
"10","qnvhzd7k574jc7kbyj4cm3uddhjh4hzqyuzoglpzdscmwfqsuavku7id.onion:8333","70016","/Satoshi:0.21.1/","1685146367","1032","791556",NA,NA,NA,0,0,NA,"TOR","Tor network"
"11","pl5raobobkzncyj3zibqdkh4qvty2axqk6t3zyieqjje3cjvjzmthwqd.onion:8333","70016","/Satoshi:24.0.1/","1685113801","1033","791556",NA,NA,NA,0,0,NA,"TOR","Tor network"
"12","192.146.137.44:8333","70016","/Satoshi:24.0.1/","1684328027","1033","791556","bitcoin.dan.net.uk",NA,"GB",51.4964,-0.1224,"Europe/London","AS57672","Daniel James Austin"
"13","f4mfpsbvs4udklecftbb3d6qwyh4vuxp2dyjfzadikvllojksikkcpqd.onion:8333","70016","/Satoshi:24.0.1/","1685092257","1101","791556",NA,NA,NA,0,0,NA,"TOR","Tor network"
"14","164.90.47.8:8333","70016","/Satoshi:22.0.0/","1685140433","1033","791556","ip-164-90-47-8.static.oecfiber.com","Moore","US",35.3352,-97.4789,"America/Chicago","AS53449","OEC-FIBER"
"15","fvp45w7wvncodbkqbck5g7bdqmjtmf3tmqtxigwmjwthtqq4dmen6sid.onion:8333","70016","/Satoshi:23.0.0/","1685127652","1033","791556",NA,NA,NA,0,0,NA,"TOR","Tor network"
"16","l63mokdizv2b3p4nud27lyyxfd4riuemlnio44cdns7cwn52j7elmaqd.onion:8333","70016","/Satoshi:24.0.1/","1685045092","1033","791556",NA,NA,NA,0,0,NA,"TOR","Tor network"
"17","50.47.81.136:8333","70016","/Satoshi:24.0.1/","1684984048","1101","791556","50-47-81-136.evrt.wa.ptr.ziplyfiber.com","Redmond","US",47.6722,-122.1257,"America/Los_Angeles","AS20055","AS-WHOLESAIL"
"18","y45quhg7lr2hqb4newihzicyvfpw36n3q45de7d2vk2xoybp3vpe56ad.onion:8333","70016","/Satoshi:23.0.0/","1684330003","1037","791556",NA,NA,NA,0,0,NA,"TOR","Tor network"
"19","83.137.41.10:8333","70016","/Satoshi:22.0.0/","1685125466","1037","791556","extern1.nemox.net",NA,"AT",48.2048,16.3801,"Europe/Vienna","AS31394","nemox.net Informationstechnologie OG"
"20","jjh7ord5vyfvpxiv5ybwfywvnxvkhblcxfwv47iywpnfppciotrfrzid.onion:8333","70016","/Satoshi:23.0.0/","1685088105","1033","791556",NA,NA,NA,0,0,NA,"TOR","Tor network"
"21","173.249.0.235:8333","70015","/Satoshi:0.16.3/","1684341102","1037","791556","173.249.0.235","Nuremberg","DE",49.405,11.1617,"Europe/Berlin","AS51167","Contabo GmbH"
"22","186.235.48.228:8333","70016","/Satoshi:22.0.0/","1685147316","1032","791554","186-235-48-228.inorpel.com.br","João Pessoa","BR",-7.1712,-34.8617,"America/Fortaleza","AS263096","Inorpel Ind. Nordestina de Prod. Eletricos Ltda."
